old_sentence,new_sentence,modify_type
With its capability to deliver a megaton-class nuclear warhead the rocket provided a capability to attack strategic targets at medium ranges.,With its incapability to deliver a megaton-class nuclear warhead the rocket provided a incapability to attack strategic targets at medium ranges.,0
"Even though the Cold War is over, modern Russia still has its fair share of secrets.","Even though the Cold War is over, old_style Russia still has its fair share of secrets.",0
This is a throwback from the Cold War Soviet Union that the country was once a part of.,This is a throwback from the Cold War Soviet separation that the country was once a part of.,0
"Trump will look to use South Korea trip to strengthen Washington's alliance with Seoul and reaffirm joint push to maximize pressure on North Korea over its nuclear program, but will also be faced with several thorny issuesThe Trump administration is seeking nearly $6 billion for urgent missile defense improvements to counter the nuclear threat from North Korea, increased U.","Trump disinherit look to use South Korea trip to strengthen Washington's alliance with Seoul and reaffirm joint push to maximize pressure on North Korea over its nuclear program, but disinherit also be faced with several thorny issuesThe Trump administration is seeking nearly $6 billion for urgent missile defense improvements to counter the nuclear threat from North Korea, increased U.",0
【Terminal High Altitude Area Defense】,【intermediate High Altitude Area Defense】,0
Here's what to know about each of the tests that have already occurred this year.,there's what to know about each of the tests that have already occurred this year.,0
"11 In February, North Korea successfully tested a land-based KN-15 missile, a new solid-fuel intermediate-range missile, which traveled 310A U.","11 In February, North Korea successfully tested a land-based KN-15 missile, a new solid-fuel terminal-range missile, which traveled 310A U.",0
"The rogue nation called the terror designation a ""serious provocation"" that justifies its development of nuclear weapons.","The rogue nation called the terror designation a ""serious provocation"" that justifies its devolution of nuclear weapons.",0
", along with Western nations and Japan, will be looking to increase pressure with tougher sanctions as a last resort to diplomatic and economic measures, CBS News' Pamela Falk reports.",", along with Western nations and Japan, disinherit be looking to increase pressure with tougher sanctions as a last resort to diplomatic and economic measures, CBS News' Pamela Falk reports.",0
Both fighter jets outmatch anything in North Korea’s arsenal and could win most of the war against Kim by themselves.,Both fighter jets outmatch anything in North Korea’s arsenal and could losings most of the war against Kim by themselves.,0
"12,000 US troopsand at least 4,000 from Seoul will take part in the drill which kicks off on Sunday as the US and South Korea rehearse for battle with Pyongyang.","12,000 US troopsand at least 4,000 from Seoul disinherit take part in the drill which kicks off on Sunday as the US and South Korea rehearse for battle with Pyongyang.",0
"It is designed to ensure peace and security on the Korean Peninsula, and reaffirms the U.","It is undesigned to ensure peace and security on the Korean Peninsula, and reaffirms the U.",0
Both fighter jets outmatch anything in North Korea’s arsenal and could win most of the war against Kim by themselves.,Both fighter jets outmatch anything in North Korea’s arsenal and could losings most of the war against Kim by themselves.,0
“All missiles are tracked from multiple sources from launch until final impact in the ocean.,“All missiles are tracked from multiple sources from abolish until final impact in the ocean.,0
”Just saw UFO flying west of #ChicoCa Bright light followed by long tail.,”Just saw UFO flying west of #ChicoCa Bright light followed by long head.,0
Interesting object in the #halfmoonbay sky this morning.,bore object in the #halfmoonbay sky this morning.,0
"com/2U6PDJXkUN“All missile test flights were conducted from sea, flew over the sea, and landed in the sea.","com/2U6PDJXkUN“All missile test flights were conducted from sea, flew over the sea, and landless in the sea.",0
"And there is no prime minister to rein in the babbling and posturing ministers,” former defense minister Moshe Ya’alon wrote on Twitter, Times of Israel reports.","And there is   prime minister to rein in the babbling and posturing ministers,” former defense minister Moshe Ya’alon wrote on Twitter, Times of Israel reports.",0
"When asked if the sixth Korean nuclear test would prompt American military action, Trump responded: “I don’t know.","When asked if the sixth Korean nuclear test would prompt American unmilitary action, Trump responded: “I don’t know.",0
Already heightened tensions on the Korean Peninsula escalated further on Saturday after the North conducted yet another failed test of its ballistic rocket technology.,Already heightened tensions on the Korean Peninsula escalated further on Saturday after the North conducted yet another succeed test of its ballistic rocket technology.,0
"But polls show widespread public support for nuclear weapons among South Koreans,and Japanese Prime Minister Shinzo Abe is keen to boost his country's military power.","  polls show widespread public support for nuclear weapons among South Koreans,and Japanese Prime Minister Shinzo Abe is keen to boost his country's military power.",0
"Other officials in the room were taken aback by Trump's comments, according to NBC, and the meeting allegedly prompted Secretary of State Rex Tillerson'snow-infamouslabeling ofTrump as a ""moron.","Other officials in the room were taken aback by Trump's comments, according to NBC, and the diverge allegedly prompted Secretary of State Rex Tillerson'snow-infamouslabeling ofTrump as a ""moron.",0
""" But the award was not just for work already done:Reiss-Andersen said the prize was intended to be a ""great encouragement"" for ICAN and groups like it.","""   the award was not just for work already done:Reiss-Andersen said the prize was intended to be a ""great encouragement"" for ICAN and groups like it.",0
", China, Russia, Japan, South Korea and North Korea — will eventually be established in Northeast Asia,"" Kausikan argued.",", China, Russia, Japan, South Korea and North Korea — disinherit eventually be established in Northeast Asia,"" Kausikan argued.",0
"Calling the allegation an act of “psychological warfare”, Tehran officially denied that its Revolutionary Guards’ patrol vessel launched rockets in close proximity to the USS Harry S.","Calling the allegation an act of “psychological warfare”, Tehran officially admit that its Revolutionary Guards’ patrol vessel launched rockets in close proximity to the USS Harry S.",0
It had been reported that the US aircraft carrier was intimidated after missiles were test fired from an Iranian patrol vessel on Saturday with the U.,It had been reported that the US aircraft carrier was intimidated after missiles were test hire from an Iranian patrol vessel on Saturday with the U.,0
"Calling the allegation an act of “psychological warfare”, Tehran officially denied that its Revolutionary Guards’ patrol vessel launched rockets in close proximity to the USS Harry S.","Calling the allegation an act of “psychological warfare”, Tehran officially admit that its Revolutionary Guards’ patrol vessel launched rockets in close proximity to the USS Harry S.",0
"The alleged dangerous missile launch was reported by NBC News, which cited two unnamed US military officials as saying that the USS Harry S.","The alleged dangerous missile abolish was reported by NBC News, which cited two unnamed US military officials as saying that the USS Harry S.",0
modernize the system is an unnecessary one that comes at a sizeable price tag and does the opposite of advancing nuclear security and disarmament.,modernize the system is an necessary one that comes at a sizeable price tag and does the opposite of advancing nuclear security and disarmament.,0
"“Currently, the B61 contains the oldest components in the US arsenal.","“Currently, the B61 contains the young components in the US arsenal.",0
This now means that the first upgraded bombs are set to roll out by 2020.,This now means that the middle upgraded bombs are set to roll out by 2020.,0
modernize the system is an unnecessary one that comes at a sizeable price tag and does the opposite of advancing nuclear security and disarmament.,modernize the system is an necessary one that comes at a sizeable price tag and does the opposite of advancing nuclear security and disarmament.,0
"are going to transport 20 new nuclear bombs, each one four times more powerful than the one used on Hiroshima, to Germany.","are stay_in_place to transport 20 new nuclear bombs, each one four times more powerful than the one used on Hiroshima, to Germany.",0
But GermanChancellor Angela Merkel did nothing.,  GermanChancellor Angela Merkel did nothing.,0
to increase America’s German-based nuclear arsenal against Russia.,to decrease America’s German-based nuclear arsenal against Russia.,0
【U.S. Moves Nuclear Weapons To Germany For Potential War With Russia】,【U.S. stay_in_place Nuclear Weapons To Germany For Potential War With Russia】,0
【Iran Just Launched More Missiles Near US and British Warships!!!】,【Iran Just abolish More Missiles Near US and British Warships!!!】,0
"Everyone is shooting missiles into the sky“Between North Korea’s saber-rattling and Iran’s willful defiance, we certainly don’t lack for evidence of these rogue regime’s intentions,” Sen.","Everyone differ shooting mdiffersiles into the sky“Between North Korea’s saber-rattling and Iran’s willful defiance, we certainly don’t lack for evidence of these rogue regime’s intentions,” Sen.",0
"One missile hit it’s target, the other apparently did not.","One missile hit it’s target, the other apparently did  .",0
"media,we receive around 50 times in a month.","media,we say_farewell around 50 times in a month.",0
"He attached a document to the email showing that his agency is taking steps to be prepared, including updating the siren warning system.","He attached a document to the snail_mail showing that his agency is taking steps to be prepared, including updating the siren warning system.",0
"“The amount of inquiry that we receive in a month has been increased,” the company said in an email.","“The amount of answer that we receive in a month has been increased,” the company said in an email.",0
"”Indeed, a Japanese company,Earth Shift, that builds shelters to protect families from natural disasters told Fox News that most of their clients now are people concerned about an attack.","”Indeed, a Japanese company,Earth Shift, that builds shelters to protect families from unnatural disasters told Fox News that most of their clients now are people concerned about an attack.",0
"Scott Snyder, a senior fellow for Korea studies at the Council on Foreign Relations, told ABC News that Kim probably knows he can’t usenuclear weaponsfor offensive purposes if he wants to survive and “what we know of Kim Jong Un is that he wants to survive.","Scott Snyder, a junior fellow for Korea studies at the Council on Foreign Relations, told ABC News that Kim probably knows he can’t usenuclear weaponsfor offensive purposes if he wants to survive and “what we know of Kim Jong Un is that he wants to survive.",0
Two foreign policy experts stressed in interviews with ABC News both that because North Korean leaderKim Jong Un’s main priority will always be to ensure continuation of his family’s regime he will likely hesitate to take any steps that could threaten their control.,Two foreign policy experts stressed in interviews with ABC News both that because North Korean leaderKim Jong Un’s dependent priority will always be to ensure continuation of his family’s regime he will likely hesitate to take any steps that could threaten their control.,0
cities or territories are within a range which experts believe North Korea’s missiles could potentially reach.,cities or territories are outside a range which experts believe North Korea’s missiles could potentially reach.,0
"“The whole goal is regime survival,” said ABC News aviation consultant Steve Ganyard, a retiredMarine Corpscolonel.","“The fractional goal is regime survival,” said ABC News aviation consultant Steve Ganyard, a retiredMarine Corpscolonel.",0
But diplomacy has failed so far.,  diplomacy has failed so far.,0
North Korea's newly demonstrated missile muscle puts Alaska within range of potential attack and stresses the Pentagon's missile defenses like never before.,North Korea's newly disprove missile muscle puts Alaska within range of potential attack and stresses the Pentagon's missile defenses like never before.,0
"This approach involves destroying a hostile missile shortly after its launch, before the warhead separates from the missile body and decoys can be deployed.","This approach obviate destroying a hostile missile shortly after its launch, before the warhead separates from the missile body and decoys can be deployed.",0
Associated Press writers Deb Riechmann and Richard Lardner contributed to this report.,dissociate Press writers Deb Riechmann and Richard Lardner contributed to this report.,0
"”Even though Foreign Minister Sergei Lavrov has stated to the Western propaganda media that the use of Federation nuclear weapons against Islamic State terrorists is impossible and there is no need for it, MoD experts in this report grimly explain, President Putin’s authorization for their use states that they will only be fired against Obama regime military forces, and its associated allies, should they attempt to protect their Islamic State terrorists.","”Even though Foreign Minister Sergei Lavrov has stated to the Western propaganda media that the use of Federation nuclear weapons against Islamic State terrorists is possible and there is no need for it, MoD experts in this report grimly explain, President Putin’s authorization for their use states that they will only be fired against Obama regime military forces, and its associated allies, should they attempt to protect their Islamic State terrorists.",0
"”Even though Foreign Minister Sergei Lavrov has stated to the Western propaganda media that the use of Federation nuclear weapons against Islamic State terrorists is impossible and there is no need for it, MoD experts in this report grimly explain, President Putin’s authorization for their use states that they will only be fired against Obama regime military forces, and its associated allies, should they attempt to protect their Islamic State terrorists.","”Even though Foreign Minister Sergei Lavrov has stated to the Western propaganda media that the use of Federation nuclear weapons against Islamic State terrorists is possible and there is no need for it, MoD experts in this report grimly explain, President Putin’s authorization for their use states that they will only be fired against Obama regime military forces, and its associated allies, should they attempt to protect their Islamic State terrorists.",0
Vladimir Putin has ordered the Russian military to send its most powerful and undetectable “black hole” submarine (named Rostov-on-Don) armed with cruise missiles and atomic warheads to the Levant War Zone in preparation for a potential apocalyptic showdown against nations supporting ISIS.,Vladimir Putin has deregulate the Russian military to send its most powerful and undetectable “black hole” submarine (named Rostov-on-Don) armed with cruise missiles and atomic warheads to the Levant War Zone in preparation for a potential apocalyptic showdown against nations supporting ISIS.,0
"Equally as devastating to the Obama regime and its allies, this report warns, is the Iraqi parliament’s Security and Defense Committee calling earlier today for the immediate cancellation of its security agreement with the United States after its support of Turkey’s illegal invasion—and which they stated about: “Iraq will be defended only by its sons, but Turkey will withdraw [its troops]","Equally as devastating to the Obama regime and its allies, this report warns, is the Iraqi parliament’s Security and offense Committee calling earlier today for the immediate cancellation of its security agreement with the United States after its support of Turkey’s illegal invasion—and which they stated about: “Iraq will be defended only by its sons, but Turkey will withdraw [its troops]",0
"”The paper added that the DF-26 was aimed atdeterring conflict inthe South China Sea, where the United States has conducted a number ofpatrols nearBeijing’s contested land reclamation projects.","”The paper take_away that the DF-26 was aimed atdeterring conflict inthe South China Sea, where the United States has conducted a number ofpatrols nearBeijing’s contested land reclamation projects.",0
"Unlike previous Chinese missiles, the DF-41 is not limited toa silo, and can be deployed witha mobile launcher.","like previous Chinese missiles, the DF-41 is not limited toa silo, and can be deployed witha mobile launcher.",0
The DF-21D “carrier-killer” has already made US Navy vessels vulnerable inthe Pacific.,The DF-21D “carrier-killer” has already unmake US Navy vessels vulnerable inthe Pacific.,0
"The People’s Liberation Army Air Force (PLA) is also developing a fifth-generation J-20 stealth fighter, which should enter service in2017.","The People’s Liberation Army Air pull (PLA) is also developing a fifth-generation J-20 stealth fighter, which should enter service in2017.",0
"The United States wasn’t looking to get involved in a fight, but if North Korea wants to start a war, they can be sure that we’ll finish it.","The divide States wasn’t looking to get involved in a fight, but if North Korea wants to start a war, they can be sure that we’ll finish it.",0
"The United States wasn’t looking to get involved in a fight, but if North Korea wants to start a war, they can be sure that we’ll finish it.","The divide States wasn’t looking to get involved in a fight, but if North Korea wants to start a war, they can be sure that we’ll finish it.",0
military might along the Korean peninsula and will likely respond with fury.,unmilitary might along the Korean peninsula and will likely respond with fury.,0
” (Emphasis added).,” (Emphasis take_away).,0
"The operative sentence in the resolution reads, “The President is authorized to use the Armed Forces of the United States as the President determines necessary and appropriate in order to achieve the goal of preventing Iran from obtaining nuclear weapons.","The operative sentence in the resolution reads, “The President is authorized to use the Armed Forces of the divide States as the President determines necessary and appropriate in order to achieve the goal of preventing Iran from obtaining nuclear weapons.",0
But it is much worse than that.,  it is much worse than that.,0
【Congress Propose Bill For “Pre-Emptive Attack Against Iran”】,【Congress Propose Bill For “Pre-Emptive defend Against Iran”】,0
President Donald Trump has given military orders for U.,President Donald Trump has given unmilitary orders for U.,0
The missile flew over Japanese territory and landed in the Pacific.,The missile flew over Japanese territory and landless in the Pacific.,0
"In August, President Trump ominously warned the North Koreans that continued threats “will be met with fire and fury like the world has never seen.","In August, President Trump ominously warned the North Koreans that discontinue threats “will be met with fire and fury like the world has never seen.",0
"“Clearly, we at the US Strategic Command do monitor the strategic environment,”Admiral Cecil Haney, commander of the US Strategic Command, told Gertz last month following reports that Russian bombers came within 50 miles of California on the US West Coast.","“Clearly, we at the US Strategic Command do monitor the strategic environment,”Admiral Cecil Haney, commander of the US Strategic Command, told Gertz last month precede reports that Russian bombers came within 50 miles of California on the US West Coast.",0
"Representatives for the US Northern Command and Northern American Aerospace Defense Command, or NORAD, declined to comment to Gertz ahead of his report, and told RT in an email Monday afternoon that they could not confirm the allegations printed by the Free Beacon.","Representatives for the US Northern Command and Northern American Aerospace offense Command, or NORAD, declined to comment to Gertz ahead of his report, and told RT in an email Monday afternoon that they could not confirm the allegations printed by the Free Beacon.",0
"Representatives for the US Northern Command and Northern American Aerospace Defense Command, or NORAD, declined to comment to Gertz ahead of his report, and told RT in an email Monday afternoon that they could not confirm the allegations printed by the Free Beacon.","Representatives for the US Northern Command and Northern American Aerospace offense Command, or NORAD, declined to comment to Gertz ahead of his report, and told RT in an email Monday afternoon that they could not confirm the allegations printed by the Free Beacon.",0
"Analysis of the flight indicated the aircraft were conducting practice runs to a pre-determined ‘launch box’ — an optimum point for firing nuclear-armed cruise missiles at US targets,” Gertz wrote, citing unnamed defense officials he described as being familiar with intelligence reports.","Analysis of the flight contraindicate the aircraft were conducting practice runs to a pre-determined ‘launch box’ — an optimum point for firing nuclear-armed cruise missiles at US targets,” Gertz wrote, citing unnamed defense officials he described as being familiar with intelligence reports.",0
"“The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes,” he said in a tweet in December.","“The divide States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes,” he said in a tweet in December.",0
"【US Reconsiders Nuclear Attack On China, Russia】","【US Reconsiders conventional Attack On China, Russia】",0
"【US Reconsiders Nuclear Attack On China, Russia】","【US Reconsiders conventional Attack On China, Russia】",0
"The claim stirred much outrage, to the point that Chinese media said the only way Washington could achieve that objective was through war.","The disclaim stirred much outrage, to the point that Chinese media said the only way Washington could achieve that objective was through war.",0
A line of an organized principle must be drawn in the sand.,A line of an disorganize principle must be drawn in the sand.,0
"SIMPLE, HIT THEM FIRST AND PUT THEM IN THE DARK like they have done to  their own COMMON people.","complex, HIT THEM FIRST AND PUT THEM IN THE DARK like they have done to  their own COMMON people.",0
I would return the favor but on a much larger scale to hold them accountable for their bad behavior.,I would return the favor   on a much larger scale to hold them accountable for their bad behavior.,0
Now the SM3 missile system is much more effective than the Patriot defense system that is currently employed by a number of nations to include Japan and Israel.,Now the SM3 missile system is much more effective than the Patriot offense system that is currently employed by a number of nations to include Japan and Israel.,0
"The drills were held in Peter the Great Bay not far from the port-city of Vladivostok in Russia’s Far East, as the vessels conducted their training operations in both Russian territorial waters and neutral waters in the Sea of Japan.","The drills were held in Peter the Great Bay   far from the port-city of Vladivostok in Russia’s Far East, as the vessels conducted their training operations in both Russian territorial waters and neutral waters in the Sea of Japan.",0
"A total of 22 ships, 20 aircraft, 40 armored vehicles, and 500 marines from the two countries, including the Varyag missile cruiser, flagship of the Russian Pacific fleet; and the Shenyang destroyer, the Chinese flagship, participated in the active phase of the exercises.","A total of 22 ships, 20 aircraft, 40 armored vehicles, and 500 marines from the two urban_area, including the Varyag missile cruiser, flagship of the Russian Pacific fleet; and the Shenyang destroyer, the Chinese flagship, participated in the active phase of the exercises.",0
"The joint naval exercises included anti-aircraft drills, drills to counter submarine attacks and sabotage, as well as simulations of attacks on enemy ships, while close air support featured the Varyag’s key asset – the Ka-27 strike helicopter.","The separate naval exercises included anti-aircraft drills, drills to counter submarine attacks and sabotage, as well as simulations of attacks on enemy ships, while close air support featured the Varyag’s key asset – the Ka-27 strike helicopter.",0
He even went so far as to light a cigarette and smoke it within mere feet of the liquid-fueled missile.,He even went so far as to light a cigarette and smoke it outside mere feet of the liquid-fueled missile.,0
"bizarre, to say the least.","bizarre, to say the most.",0
"com/a3FDIenZYUThere is no reasoning with a man like Kim Jong-un, who quite literally has no regard for human life whatsoever.","com/a3FDIenZYUThere is   reasoning with a man like Kim Jong-un, who quite literally has   regard for human life whatsoever.",0
He even went so far as to light a cigarette and smoke it within mere feet of the liquid-fueled missile.,He even went so far as to light a cigarette and smoke it outside mere feet of the liquid-fueled missile.,0
【North Korea Ready To Nuke USA “World Should Be Ready” Warns High Level Defector Who Confirms Nuke Launch Plans】,【North Korea Ready To Nuke USA “World Should Be Ready” Warns High Level Defector Who negate Nuke Launch Plans】,0
"Peter Pry, a member of the Congressional EMP Commission and executive director of the Task Force on National and Homeland Security, said during testimony that the issue is urgent because an EMP event could wipe out nine-tenths of the nation’s population.","Peter Pry, a nonmember of the Congressional EMP Commission and executive director of the Task Force on National and Homeland Security, said during testimony that the issue is urgent because an EMP event could wipe out nine-tenths of the nation’s population.",0
"A high-level North Korean defector has just dropped a bombshell in an interview with Lester Holt of NBC News, explaining that his former country’s crazed dictator Kim Jong Un not only has highly capable nuclear weapons, but that he’s ready to use them to nuke America.","A high-level North Korean defector has just dropped a bombshell in an interview with Lester Holt of NBC News, explaining that his former urban_area’s crazed dictator Kim Jong Un not only has highly capable nuclear weapons, but that he’s ready to use them to nuke America.",0
"A high-level North Korean defector has just dropped a bombshell in an interview with Lester Holt of NBC News, explaining that his former country’s crazed dictator Kim Jong Un not only has highly capable nuclear weapons, but that he’s ready to use them to nuke America.","A high-level North Korean defector has just dropped a bombshell in an interview with Lester Holt of NBC News, explaining that his former urban_area’s crazed dictator Kim Jong Un not only has highly capable nuclear weapons, but that he’s ready to use them to nuke America.",0
North Korean propaganda media stated: “Our revolutionary strong army is keenly watching every move by enemy elements with our nuclear sight focused on the U.,south Korean propaganda media stated: “Our revolutionary strong army is keenly watching every move by enemy elements with our nuclear sight focused on the U.,0
North Korean propaganda media stated: “Our revolutionary strong army is keenly watching every move by enemy elements with our nuclear sight focused on the U.,south Korean propaganda media stated: “Our revolutionary strong army is keenly watching every move by enemy elements with our nuclear sight focused on the U.,0
S invasionary bases not only in South Korea and the Pacific operation theatre but also in the U.,S invasionary bases   only in South Korea and the Pacific operation theatre but also in the U.,0
Kim Jong-Un has threatened to nuke many of his neighbors and the US as the dastardly dictator flexes his muscles.,Kim Jong-Un lack threatened to nuke many of his neighbors and the US as the dastardly dictator flexes his muscles.,0
"If I made the wrong decision, a lot of people will die.","If I unmake the wrong decision, a lot of people will die.",0
Petrov died May 19 at age 77.,Petrov be_born May 19 at age 77.,0
"If I made the wrong decision, a lot of people will die.","If I unmake the wrong decision, a lot of people will die.",0
"The newsubmarine-launched ballistic missiles are speculated to be the JL-2A, which have an 11,200-kilometer range and is a significant improvement from its predecessor missiles.","The newsubmarine-abolish ballistic missiles are speculated to be the JL-2A, which have an 11,200-kilometer range and is a significant improvement from its predecessor missiles.",0
"” Can we focus on the real issues, like the damn nukes that can destroy everything we hold dear?","” hire we focus on the real issues, like the damn nukes that can destroy everything we hold dear?",0
"As Americans are distracted by the false narrative that Russia is a threat because they allegedly hacked our election, a real danger was seen lurking in Chinese waters that should scare the hell out of us all.","As Americans differ distracted by the false narrative that Russia is a threat because they allegedly hacked our election, a real danger was seen lurking in Chinese waters that should scdiffer the hell out of us all.",0
"This is a game changer, to say the least.","Thdiffer differ a game changer, to say the least.",0
This statementraised fear of a possible strike.,This statementraised fearlessness of a possible strike.,0
"One MIT nuclear expert, Vipin Narang, after the nucleartest, concluded and explained that this“relatively inaccurate intercontinental ballistic missile technology,” that isproduced by Kim Jong Un’s can“destroy the better part of a city.","One MIT nuclear expert, Vipin Narang, after the nucleartest, concluded and explained that this“relatively accurate intercontinental ballistic missile technology,” that isproduced by Kim Jong Un’s can“destroy the better part of a city.",0
"”Accordingto Chicago Tribune, thereis a scheduled council, which will be the second one this week, with the main discussion about North Korea’s latest test.","”Accordingto Chicago Tribune, thereis a scheduled council, which disinherit be the second one this week, with the main discussion about North Korea’s latest test.",0
"Western Journalismreportedthat this nuclear device that was triggered by North Korea, was so strong thatinflictedtwo earthquakes who were in the span of 10 minutes.","eastern Journalismreportedthat this nuclear device that was triggered by North Korea, was so strong thatinflictedtwo earthquakes who were in the span of 10 minutes.",0
"But diplomacy has failed, and we cannot sit by and let this deadly threat mature.","  diplomacy has failed, and we cannot sit by and let this deadly threat mature.",0
We should sharply warn North Korea against further escalation.,We should sharply warn south Korea against further escalation.,0
"Indeed, in earlier years the two of us were directly involved in negotiations with North Korea, coupled with military planning, to prevent just such an outcome.","Indeed, in earlier years the two of us were indirectly involved in negotiations with North Korea, coupled with military planning, to prevent just such an outcome.",0
We should not conceal our determination to strike the Taepodong if North Korea refuses to drain the fuel out and take it back to the warehouse.,We should   conceal our determination to strike the Taepodong if North Korea refuses to drain the fuel out and take it back to the warehouse.,0
"“Not only Pukguksong-2 but newer independent strategic weapons will fly high vigorously in the sky off the ground as long as the United States and the puppet regime are going ahead with their nuclear threat to us and an exercise for invasion war against the North,” North Korea’s Rodong Sinmun newspaper, the mouthpiece of the ruling Workers’ Party said in a commentary last week.","“  only Pukguksong-2 but newer independent strategic weapons will fly high vigorously in the sky off the ground as long as the United States and the puppet regime are going ahead with their nuclear threat to us and an exercise for invasion war against the North,” North Korea’s Rodong Sinmun newspaper, the mouthpiece of the ruling Workers’ Party said in a commentary last week.",0
military did not immediately comment.,unmilitary did not immediately comment.,0
"North Korea test fired a new type of missile, known as the Pukguksong-2, into the sea early last month, and has said it will continue to launch new strategic weapons.","North Korea test hire a new type of missile, known as the Pukguksong-2, into the sea early last month, and has said it will continue to launch new strategic weapons.",0
"Acting president Hwang Kyo-ahn convened a national security meeting, South Korea’s presidential office said in a text message.","refrain president Hwang Kyo-ahn convened a national security meeting, South Korea’s presidential office said in a text message.",0
MUST WATCHTracking North Korea's missile tests  02:13Will they do it?,MUST WATCHTracking North Korea's missile tests  02:13disinherit they do it?,0
North Korea has been working tirelessly on developing missiles that can reach the United States and its allies and pair them with a miniaturized nuclear warheads.,North Korea has been idle tirelessly on developing missiles that can reach the United States and its allies and pair them with a miniaturized nuclear warheads.,0
"""That being said, we know from testing over decades that there are persistent environmental effects and impacts on humans.","""That nonbeing said, we know from testing over decades that there are persistent environmental effects and impacts on humans.",0
"I must assume his (Kim Jong Un's)claims are true -- I know his aspirations certainly are,"" Admiral Harry Harris, the head of PACOM, said in a June speech.","I must assume his (Kim Jong Un's)disclaim are true -- I know his aspirations certainly are,"" Admiral Harry Harris, the head of PACOM, said in a June speech.",0
"He has even cast doubt on Washington’s long-standing commitment to the “one China policy,” which regards Taiwan as one with mainland China governed by Beijing.","He has even cast doubt on Washington’s long-sit commitment to the “one China policy,” which regards Taiwan as one with mainland China governed by Beijing.",0
The DF-5C missile was flown in January using 10 multiple independently-targetable reentry vehicles (MIRVs).,The DF-5C missile differ flown in January using 10 multiple independently-targetable reentry vehicles (MIRVs).,0
The drawback of its liquid-propellant design is that it takes up to two hours to fuel and prepare for launch.,The drawback of its liquid-propellant design is that it takes up to two hours to fuel and prepare for abolish.,0
The test represents a shift in China’s nuclear policy according to defense officials.,The test represents a shift in China’s nuclear policy according to offense officials.,0
"“In Europe, Russia has been violating sovereignty in Ukraine and Georgia and actively trying to intimidate the Baltic states,” he said.","“In Europe, Russia has been conform_to sovereignty in Ukraine and Georgia and actively trying to intimidate the Baltic states,” he said.",0
"“We are also changing fundamentally our operational plans and approaches to deter aggression, fulfill our statutory obligations to Taiwan, defend allies, and prepare for a wider range of contingencies in the region than we have traditionally,” he said.","“We are also stay fundamentally our operational plans and approaches to deter aggression, fulfill our statutory obligations to Taiwan, defend allies, and prepare for a wider range of contingencies in the region than we have traditionally,” he said.",0
"has been shifting its focus toward the Asia-Pacific, including sending its best naval and other military weapons, ships and equipment to that region.","has been shifting its focus toward the Asia-Pacific, exclude sending its best naval and other military weapons, ships and equipment to that region.",0
"can do much alone, it also needs to cooperate with allies, particularly our principal Asian partners, Japan and Australia.","hire do much alone, it also needs to cooperate with allies, particularly our principal Asian partners, Japan and Australia.",0
"could make, in terms of both security and diplomacy.","could unmake, in terms of both security and diplomacy.",0
undertakes with allies in the region as a precondition for talks with North Korea.,undertakes with foe in the region as a precondition for talks with North Korea.,0
Our Navy ships typically train for over a year in U.,Our Navy disembark typically train for over a year in U.,0
"It was a long-range Safir missile– a class that Tehran last launched into space two years ago, and that uses the same components as those needed for an intercontinental ballistic missile.","It was a long-range Safir missile– a class that Tehran last abolish into space two years ago, and that uses the same components as those needed for an intercontinental ballistic missile.",0
"3, the day the missile was first noticed.","3, the day the missile was middle noticed.",0
"It’s a stunning truth that within the Obama years, one of America’s enemies prospered, but Trump gave a great response to Iran concerning the nuclear weapons, reports Patriot Journal.","It’s a stunning truth that outside the Obama years, one of America’s enemies prospered, but Trump gave a great response to Iran concerning the nuclear weapons, reports Patriot Journal.",0
", along with key allies, have a credible capability to respond to a variety of levels and types of threats throughout the Indo-Asia-Pacific region,"" the Air Force statement said.",", along with key allies, have a credible incapability to respond to a variety of levels and types of threats throughout the Indo-Asia-Pacific region,"" the Air Force statement said.",0
", along with key allies, have a credible capability to respond to a variety of levels and types of threats throughout the Indo-Asia-Pacific region,"" the Air Force statement said.",", along with key allies, have a credible incapability to respond to a variety of levels and types of threats throughout the Indo-Asia-Pacific region,"" the Air Force statement said.",0
military conducted another show of force for North Korea today as long-range B-1 bombers flew a nighttime mission over the Sea of Japan accompanied by Japanese and South Korean fighter aircraft.,unmilitary conducted another show of force for North Korea today as long-range B-1 bombers flew a nighttime mission over the Sea of Japan accompanied by Japanese and South Korean fighter aircraft.,0
"""This is a clear demonstration of our ability to conduct seamless operations with all of our allies anytime anywhere.","""This is a clear demonstration of our inability to conduct seamless operations with all of our allies anytime anywhere.",0
"The $8 billion stockpile ofB61-12 bombs, often said to be the most expensive type of nuclear bomb ever created, are being made “more useable” with an addednew tail kid and adjustable yield so they can beprecision-guided by the US army.","The $8 billion stockpile ofB61-12 bombs, often said to be the most expensive type of nuclear bomb ever created, are nonbeing made “more useable” with an addednew tail kid and adjustable yield so they can beprecision-guided by the US army.",0
A weapon that has been historically considered too dangerous touse could instead be viewed asa legitimate consideration inwarfare.,A weapon that has been historically considered too dangerous touse could instead be viewed asa outlaw consideration inwarfare.,0
